paragraphId,chapterTitle,subChapterTitle,content,summary
16,"1. Categories of ESRS Standards, reporting areas and drafting conventions",1.3 Drafting conventions,ESRS structure the information to be disclosed under Disclosure Requirements. Each Disclosure Requirement consists of one or more distinct datapoints. The term “datapoint” can also refer to a narrative sub-element of a Disclosure Requirement.,"ESRS organizes the information to be shared according to Disclosure Requirements, which are made up of one or more specific datapoints, including narrative sub-elements."
17,"1. Categories of ESRS Standards, reporting areas and drafting conventions",1.3 Drafting conventions,In addition to Disclosure Requirements most ESRS also contain Application Requirements. Application Requirements support the application of Disclosure Requirements and have the same authority as other parts of an ESRS.,"Besides Disclosure Requirements, most ESRS also include Application Requirements, which aid in applying the Disclosure Requirements and hold equal authority as other ESRS parts."
18,"1. Categories of ESRS Standards, reporting areas and drafting conventions",1.3 Drafting conventions,ESRS use the following terms to distinguish between different degrees of obligation on the undertaking to disclose information:\n (a) “shall disclose” - indicates that the provision is prescribed by a Disclosure Requirement or datapoint;\n (b) “may disclose” - indicates voluntary disclosure to encourage good practice. In addition ESRS use the term “shall consider” when referring to issues resources or methodologies that the undertaking is expected to take into account or to use in the preparation of a given disclosure if applicable.,"ESRS uses terms like ""shall disclose"", ""may disclose"", and ""shall consider"" to differentiate between mandatory, voluntary, and suggested considerations for information disclosure."
19,2. Qualitative characteristics of information,,When preparing its sustainability statement the undertaking shall apply:\n (a) the fundamental qualitative characteristics of information i.e. relevance and faithful representation; and\n (b) the enhancing qualitative characteristics of information i.e. comparability verifiability and understandability.,"When creating its sustainability statement, the company should ensure the information is relevant, accurately represented, comparable, verifiable, and understandable."
20,2. Qualitative characteristics of information,,These qualitative characteristics of information are defined and described in Appendix B of this Standard.,This Standard's Appendix B provides definitions and descriptions of information's qualitative characteristics.
21,3. Double materiality as the basis for sustainability disclosures,,The undertaking shall report on sustainability matters based on the double materiality principle as defined and explained in this chapter.,The project will provide a sustainability report using the double materiality principle outlined in this chapter.
22,3. Double materiality as the basis for sustainability disclosures,3.1 Stakeholders and their relevance to the materiality assessment process,Stakeholders are those who can affect or be affected by the undertaking. There are two main groups of stakeholders:\n (a) affected stakeholders: individuals or groups whose interests are affected or could be affected - positively or negatively - by the undertaking's activities and its direct and indirect business relationships across its value chain; and\n (b) users of sustainability statements: primary users of general-purpose financial reporting (existing and potential investors lenders and other creditors including asset managers credit institutions insurance undertakings) and other users of sustainability statements including the undertaking's business partners trade unions and social partners civil society and non-governmental organisations governments analysts and academics.,"Stakeholders, who can influence or be influenced by a project, are categorized into two groups: affected stakeholders, who are impacted by the project's activities and relationships, and users of sustainability statements, who utilize financial reports and include a variety of entities from investors to governments."
23,3. Double materiality as the basis for sustainability disclosures,3.1 Stakeholders and their relevance to the materiality assessment process,Some but not all stakeholders may belong to both groups referred to in paragraph 22.,Certain stakeholders might be part of both groups mentioned in paragraph 22.
24,3. Double materiality as the basis for sustainability disclosures,3.1 Stakeholders and their relevance to the materiality assessment process,Engagement with affected stakeholders is central to the undertaking's on-going due diligence process (see chapter 4 Due diligence) and sustainability materiality assessment. This includes its processes to identify and assess actual and potential negative impacts which then inform the assessment process to identify the material impacts for the purposes of sustainability reporting (see section 3.4 of this Standard).,"The project involves continuous interaction with impacted stakeholders to identify and evaluate potential negative effects, which then helps determine significant impacts for sustainability reporting."
25,3. Double materiality as the basis for sustainability disclosures,3.2 Material matters and materiality of information,"Performing a materiality assessment (see sections 3.4 Impact materiality and 3.5 Financial materiality) is necessary for the undertaking to identify the material impacts, risks and opportunities to be reported.","A materiality assessment is needed to identify significant impacts, risks, and opportunities for reporting."
26,3. Double materiality as the basis for sustainability disclosures,3.2 Material matters and materiality of information,"Materiality assessment is the starting point for sustainability reporting under ESRS. IRO-1 in section 4.1 of ESRS 2 includes general disclosure requirements about the undertaking's process to identify impacts, risks and opportunities and assess their materiality. SBM-3 of ESRS 2 provides general disclosure requirements on the material impacts risks and opportunities resulting from the undertaking's materiality assessment","Materiality assessment is the initial step in sustainability reporting under ESRS, which involves identifying and evaluating the impacts, risks, and opportunities of an undertaking, as outlined in sections IRO-1 and SBM-3 of ESRS 2."
27,3. Double materiality as the basis for sustainability disclosures,3.2 Material matters and materiality of information,The Application Requirements in Appendix A of this Standard include a list of sustainability matters covered in topical ESRS categorised by topics sub-topics and sub-sub-topics to support the materiality assessment. Appendix E Flowchart for determining disclosures to be included of this Standard provides an illustration of the materiality assessment described in this section.,"This Standard includes an appendix with a detailed list of sustainability topics for materiality assessment, and another appendix with a flowchart illustrating how to determine what disclosures should be included."
28,3. Double materiality as the basis for sustainability disclosures,3.2 Material matters and materiality of information,A sustainability matter is “material” when it meets the criteria defined for impact materiality (see section 3.4 of this Standard) or financial materiality (see section 3.5 of this Standard) or both.,"A sustainability issue is considered ""material"" if it meets the standards for either impact materiality or financial materiality, or both, as defined in this Standard."
29,3. Double materiality as the basis for sustainability disclosures,3.2 Material matters and materiality of information,"Irrespective of the outcome of its materiality assessment the undertaking shall always disclose the information required by: ESRS 2 General Disclosures (i.e. all the Disclosure Requirements and data points specified in ESRS 2) and the Disclosure Requirements (including their datapoints) in topical ESRS related to the Disclosure Requirement IRO-1 Description of the process to identify and assess material impacts, risks and opportunities as listed in ESRS 2 6 Appendix C Disclosure/Application Requirements in topical ESRS that are applicable jointly with ESRS 2 General Disclosures","Regardless of its materiality assessment results, the undertaking must always reveal the information demanded by ESRS 2 General Disclosures and the Disclosure Requirements in related ESRS, including the process to identify and assess significant impacts, risks, and opportunities."
30,3. Double materiality as the basis for sustainability disclosures,3.2 Material matters and materiality of information,When the undertaking concludes that a sustainability matter is material as a result of its materiality assessment on which ESRS 2 IRO-1 IRO-2 and SBM-3 set disclosure requirements it shall:\n (a) disclose information according to the Disclosure Requirements (including Application Requirements) related to that specific sustainability matter in the corresponding topical and sector-specific ESRS; and\n (b) disclose additional entity-specific disclosures (see paragraph 11 and AR 1 to AR 5 of this Standard) when the material sustainability matter is not covered by an ESRS or is covered with insufficient granularity.,"When a project determines a sustainability issue is significant, it must disclose information according to the Disclosure Requirements and provide additional specific disclosures if the issue is not adequately covered by an ESRS."
31,3. Double materiality as the basis for sustainability disclosures,3.2 Material matters and materiality of information,The applicable information prescribed within a Disclosure Requirement including its datapoints or an entity-specific disclosure shall be disclosed when the undertaking assesses as part of its assessment of material information that the information is relevant from one or more of the following perspectives:\n (a) the significance of the information in relation to the matter it purports to depict or explain; or\n (b) the capacity of such information to meet the users' decision-making needs including the needs of primary users of general-purpose financial reporting described in paragraph 48 and/or the needs of users whose principal interest is in information about the undertaking's impacts.,"The information in a Disclosure Requirement should be shared if it is deemed significant to the subject it represents or if it can aid users' decision-making needs, including those interested in the entity's impacts."
32,3. Double materiality as the basis for sustainability disclosures,3.2 Material matters and materiality of information,If the undertaking concludes that climate change is not material and therefore omits all disclosure requirements in ESRS E1 Climate change it shall disclose a detailed explanation of the conclusions of its materiality assessment with regard to climate change (see ESRS 2 IRO2 Disclosure Requirements in ESRS covered by the undertaking's sustainability statement) including a forward-looking analysis of the conditions that could lead the undertaking to conclude that climate change is material in the future. If the undertaking concludes that a topic other than climate change is not material and therefore it omits all the Disclosure Requirements in the corresponding topical ESRS it may briefly explain the conclusions of its materiality assessment for that topic.,"If a company determines that climate change is not significant and excludes all related disclosures, it must provide a detailed explanation of its assessment, including a future-oriented analysis of conditions that could make climate change significant; if it deems another topic insignificant, it may briefly explain its assessment for that topic."
33,3. Double materiality as the basis for sustainability disclosures,3.2 Material matters and materiality of information,"When disclosing information on policies, actions and targets in relation to a sustainability matter that has been assessed to be material the undertaking shall include the information prescribed by all the Disclosure Requirements and datapoints in the topical and sector-specific ESRS related to that matter and in the corresponding Minimum Disclosure Requirement on policies actions and targets required under ESRS 2. If the undertaking cannot disclose the information prescribed by either the Disclosure Requirements and datapoints in the topical or sector-specific ESRS or the Minimum Disclosure Requirements in ESRS 2 on policies actions and targets because it has not adopted the respective policies implemented the respective actions or set the respective targets it shall disclose this to be the case and it may report a timeframe in which it aims to have these in place.","When revealing sustainability-related information, businesses must follow all Disclosure Requirements and data points in the relevant ESRS; if they haven't adopted the necessary policies or targets, they must disclose this and may provide a timeline for implementation."
34,3. Double materiality as the basis for sustainability disclosures,3.2 Material matters and materiality of information,When disclosing information on metrics for a material sustainability matter according to the Metrics and Targets section of the relevant topical ESRS the undertaking:\n (a) shall include the information prescribed by a Disclosure Requirement if it assesses such information to be material; and\n (b) may omit the information prescribed by a datapoint of a Disclosure Requirement if it assesses such information to be not material and concludes that such information is not needed to meet the objective of the Disclosure Requirement.,"When reporting sustainability metrics, a company must include information deemed important, but can exclude information considered unimportant, as long as it doesn't hinder the goal of the disclosure requirement."
35,3. Double materiality as the basis for sustainability disclosures,3.2 Material matters and materiality of information,If the undertaking omits the information prescribed by a datapoint that derives from other EU legislation listed in Appendix B of ESRS 2 it shall explicitly state that the information in question is “not material”.,"If a project doesn't include the required information from a datapoint based on other EU laws listed in Appendix B of ESRS 2, it must clearly state that the missing information is ""not important""."
36,3. Double materiality as the basis for sustainability disclosures,3.2 Material matters and materiality of information,The undertaking shall establish how it applies criteria including appropriate thresholds to determine:\n (a) the information it discloses on metrics for a material sustainability matter according to the Metrics and Targets section of the relevant topical ESRS in accordance with paragraph 34; and (b) the information to be disclosed as entity-specific disclosures.,"The project will set guidelines on what sustainability information to disclose based on certain criteria and thresholds, according to the relevant ESRS Metrics and Targets section and entity-specific disclosures."
37,3. Double materiality as the basis for sustainability disclosures,3.3 Double materiality,Double materiality has two dimensions namely: impact materiality and financial materiality. Unless specified otherwise the terms “material” and “materiality” are used throughout ESRS to refer to double materiality.,Double materiality in ESRS refers to two aspects: impact materiality and financial materiality.
38,3. Double materiality as the basis for sustainability disclosures,3.3 Double materiality,Impact materiality and financial materiality assessments are inter-related and the interdependencies between these two dimensions shall be considered. In general the starting point is the assessment of impacts although there may also be material risks and opportunities that are not related to the undertaking's impacts. A sustainability impact may be financially material from inception or become financially material when it could reasonably be expected to affect the undertaking's financial position financial performance cash flows its access to finance or cost of capital over the short- medium- or long-term. Impacts are captured by the impact materiality perspective irrespective of whether or not they are financially material.,"The assessment of impact materiality and financial materiality are interconnected, starting usually with the evaluation of impacts, which can affect a company's financial status and access to capital, regardless of whether they are financially significant or not."
39,3. Double materiality as the basis for sustainability disclosures,3.3 Double materiality,"In identifying and assessing the impacts, risks and opportunities in the undertaking's value chain to determine their materiality the undertaking shall focus on areas where impacts risks and opportunities are deemed likely to arise based on the nature of the activities business relationships geographies or other factors concerned.","The undertaking should focus on areas likely to have impacts, risks, and opportunities based on its activities, business relationships, geographies, or other factors when assessing the value chain's materiality."
40,3. Double materiality as the basis for sustainability disclosures,3.3 Double materiality,The undertaking shall consider how it is affected by its dependencies on the availability of natural human and social resources at appropriate prices and quality irrespective of its potential impacts on those resources.,"The project will assess its reliance on the availability of natural, human, and social resources, regardless of its possible effects on these resources."
41,3. Double materiality as the basis for sustainability disclosures,3.3 Double materiality,"An undertaking's principal impacts, risks and opportunities are understood to be the same as the material impacts risks and opportunities identified under the double materiality principle and therefore reported on in its sustainability statement.","The main effects, risks, and opportunities of a project, as identified under the double materiality principle, are reported in its sustainability statement."
42,3. Double materiality as the basis for sustainability disclosures,3.3 Double materiality,"The undertaking shall apply the criteria set under sections 3.4 and 3.5 in this Standard using appropriate quantitative and/or qualitative thresholds. Appropriate thresholds are necessary to determine which impacts, risks and opportunities are identified and addressed by the undertaking as material and to determine which sustainability matters are material for reporting purposes. Some existing standards and frameworks use the term ""most significant impacts” when referring to the threshold used to identify the impacts that are described in ESRS as ""material impacts.""","The project will use specific criteria from this Standard to identify and address significant impacts, risks, and opportunities, using suitable thresholds to determine what matters are important for sustainability reporting."
43,3. Double materiality as the basis for sustainability disclosures,3.4 Impact materiality,A sustainability matter is material from an impact perspective when it pertains to the undertaking's material actual or potential positive or negative impacts on people or the environment over the short- medium- or long-term. Impacts include those connected with the undertaking's own operations and upstream and downstream value chain including through its products and services as well as through its business relationships. Business relationships include those in the undertaking's upstream and downstream value chain and are not limited to direct contractual relationships.,"A sustainability matter is significant when it involves the project's real or potential positive or negative effects on people or the environment, considering both immediate and future impacts, and includes those related to the project's operations, products, services, and business relationships throughout its value chain."
44,3. Double materiality as the basis for sustainability disclosures,3.4 Impact materiality,In this context impacts on people or the environment include impacts in relation to environmental social and governance matters.,"This context discusses the effects on people and the environment concerning environmental, social, and governance issues."
45,3. Double materiality as the basis for sustainability disclosures,3.4 Impact materiality,The materiality assessment of a negative impact is informed by the due diligence process defined in the international instruments of the UN Guiding Principles on Business and Human Rights and the OECD Guidelines for Multinational Enterprises. For actual negative impacts materiality is based on the severity of the impact while for potential negative impacts it is based on the severity and likelihood of the impact. Severity is based on the following factors:\n (a) the scale;\n (b) scope; and\n (c) irremediable character of the impact. In the case of a potential negative human rights impact the severity of the impact takes precedence over its likelihood.,"The materiality of a negative impact is determined by the severity and likelihood of the impact, as guided by international standards, with severity taking precedence in potential human rights impacts."
46,3. Double materiality as the basis for sustainability disclosures,3.4 Impact materiality,For positive impacts materiality is based on:\n (a) the scale and scope of the impact for actual impacts; and (b) the scale scope and likelihood of the impact for potential impacts.,"The positive effects of materiality depend on the size and range of the actual impact, and the size, range, and probability of potential impacts."
47,3. Double materiality as the basis for sustainability disclosures,3.5 Financial materiality,The scope of financial materiality for sustainability reporting is an expansion of the scope of materiality used in the process of determining which information should be included in the undertaking's financial statements,Financial materiality for sustainability reporting broadens the range of information considered important for inclusion in a company's financial statements.
48,3. Double materiality as the basis for sustainability disclosures,3.5 Financial materiality,The financial materiality assessment corresponds to the identification of information that is considered material for primary users of general-purpose financial reports in making decisions relating to providing resources to the entity. In particular information is considered material for primary users of general-purpose financial reports if omitting misstating or obscuring that information could reasonably be expected to influence decisions that they make on the basis of the undertaking's sustainability statement.,"The financial materiality assessment is the process of identifying crucial information that can significantly impact the decisions of the main users of general-purpose financial reports, particularly in relation to the entity's sustainability."
49,3. Double materiality as the basis for sustainability disclosures,3.5 Financial materiality,A sustainability matter is material from a financial perspective if it triggers or could reasonably be expected to trigger material financial effects on the undertaking. This is the case when a sustainability matter generates risks or opportunities that have a material influence or could reasonably be expected to have a material influence on the undertaking's development financial position financial performance cash flows access to finance or cost of capital over the short- medium- or long-term. Risks and opportunities may derive from past events or future events. The financial materiality of a sustainability matter is not constrained to matters that are within the control of the undertaking but includes information on material risks and opportunities attributable to business relationships beyond the scope of consolidation used in the preparation of financial statements.,"A sustainability issue is financially significant if it can potentially cause substantial financial impacts on a business, by creating risks or opportunities that can affect the company's financial status, performance, cash flow, financing access, or capital cost in the short, medium, or long term, including factors beyond the company's control and those related to business relationships outside the company's consolidated scope."
50,3. Double materiality as the basis for sustainability disclosures,3.5 Financial materiality,Dependencies on natural human and social resources can be sources of financial risks or opportunities. Dependencies may trigger effects in two possible ways:\n (a) they may influence the undertaking's ability to continue to use or obtain the resources needed in its business processes as well as the quality and pricing of those resources; and\n (b) they may affect the undertaking's ability to rely on relationships needed in its business processes on acceptable terms.,"Relying on human, social, and natural resources can lead to financial risks or opportunities, as they can impact a business's ability to access necessary resources and maintain important relationships."
51,3. Double materiality as the basis for sustainability disclosures,3.5 Financial materiality,The materiality of risks and opportunities is assessed based on a combination of the likelihood of occurrence and the potential magnitude of the financial effects.,Risks and opportunities are evaluated based on how likely they are to happen and their possible financial impact.
52,3. Double materiality as the basis for sustainability disclosures,3.6 Material impacts or risks arising from actions to address sustainability matters,The undertaking's materiality assessment may lead to the identification of situations in which its actions to address certain impacts or risks or to benefit from certain opportunities in relation to a sustainability matter might have material negative impacts or cause material risks in relation to one or more other sustainability matters. For example:\n (a) an action plan to decarbonise production that involves abandoning certain products might have material negative impacts on the undertaking's own workforce and result in material risks due to redundancy payments; or\n (b) an action plan of an automotive supplier to focus on the supply of e-vehicles might lead to stranded assets for the production of supply parts for conventional vehicles.,"The company's assessment of sustainability issues may reveal that actions taken to address certain impacts or opportunities could potentially lead to significant negative effects or risks in other sustainability areas, such as workforce redundancies from decarbonization plans or stranded assets from shifting to e-vehicle production."
53,3. Double materiality as the basis for sustainability disclosures,3.6 Material impacts or risks arising from actions to address sustainability matters,In such situations the undertaking shall:\n (a) disclose the existence of material negative impacts or material risks together with the actions that generate them with a cross-reference to the topic to which the impacts or risks relate; and\n (b) provide a description of how the material negative impacts or material risks are addressed under the topic to which they relate.,"The company must reveal any significant negative effects or risks and their causes, and explain how these issues are being handled."
54,3. Double materiality as the basis for sustainability disclosures,3.7 Level of disaggregation,"When needed for a proper understanding of its material impacts, risks and opportunities the undertaking shall disaggregate the reported information:\n (a) by country when there are significant variations of material impacts risks and opportunities across countries and when presenting the information at a higher level of aggregation would obscure material information about impacts risks or opportunities; or\n (b) by significant site or by significant asset when material impacts risks and opportunities are highly dependent on a specific location or asset.","The company should break down the reported information by country or significant site/asset when necessary for a clear understanding of its material impacts, risks, and opportunities."
55,3. Double materiality as the basis for sustainability disclosures,3.7 Level of disaggregation,When defining the appropriate level of disaggregation for reporting the undertaking shall consider the disaggregation adopted in its materiality assessment. Depending on the undertaking's specific facts and circumstances a disaggregation by subsidiary may be necessary.,"The company should decide the level of detail in reporting based on its materiality assessment, and may need to break down information by subsidiary depending on its specific situation."
56,3. Double materiality as the basis for sustainability disclosures,3.7 Level of disaggregation,Where data from different levels or multiple locations within a level is aggregated the undertaking shall ensure that this aggregation does not obscure the specificity and context necessary to interpret the information. The undertaking shall not aggregate material items that differ in nature.,"The company must ensure that combining data from various levels or locations doesn't hide important details or context, and should not combine significant items that are different in nature."
57,3. Double materiality as the basis for sustainability disclosures,3.7 Level of disaggregation,When the undertaking presents information disaggregated by sectors it shall adopt the ESRS sector classification to be specified in a delegated act adopted by the Commission pursuant to article 29b(1) third subparagraph point (ii) of Directive 2013/34/EU. When a topical or sectorspecific ESRS requires that a specific level of disaggregation is adopted in preparing a specific item of information the requirement in the topical or sector-specific ESRS shall prevail.,"The task requires using the ESRS sector classification for sector-specific information, and if a specific level of disaggregation is needed for certain information, the requirement in the sector-specific ESRS should be followed."
58,4. Due diligence,,"The outcome of the undertaking's sustainability due diligence process (referred to as “due diligence” in the international instruments mentioned below) informs the undertaking's assessment of its material impacts, risks and opportunities. ESRS do not impose any conduct requirements in relation to due diligence; nor do they extend or modify the role of the administrative management or supervisory bodies of the undertaking with regard to the conduct of due diligence.","The sustainability due diligence process helps a business evaluate its significant impacts, risks, and opportunities, but ESRS do not dictate how this process should be conducted or change the role of the business's management or supervisory bodies."
59,4. Due diligence,,Due diligence is the process by which undertakings identify prevent mitigate and account for how they address the actual and potential negative impacts on the environment and people connected with their business. These include negative impacts connected with the undertaking's own operations and its upstream and downstream value chain including through its products or services as well as through its business relationships. Due diligence is an on-going practice that responds to and may trigger changes in the undertaking's strategy business model activities business relationships operating sourcing and selling contexts. This process is described in the international instruments of the UN Guiding Principles on Business and Human Rights and the OECD Guidelines for Multinational Enterprises.,"Due diligence is an ongoing process where businesses identify and address potential and actual negative impacts on people and the environment related to their operations, products, services, and business relationships, as outlined in the UN Guiding Principles on Business and Human Rights and the OECD Guidelines for Multinational Enterprises."
60,4. Due diligence,,These international instruments identify a number of steps in the due diligence process including the identification and assessment of negative impacts connected with the undertaking's own operations and its upstream and downstream value chain including through its products or services as well as through its business relationships. Where the undertaking cannot address all impacts at once the due diligence process allows for action to be prioritised based on the severity and likelihood of the impacts. It is this aspect of the due diligence process that informs the assessment of material impacts (see section 3.4 of this Standard). The identification of material impacts also supports the identification of material sustainability risks and opportunities which are often a product of such impacts.,"International instruments outline the due diligence process, which includes identifying and assessing negative impacts from a business's operations and value chain, prioritizing actions based on severity and likelihood of impacts, and identifying material sustainability risks and opportunities."
