paragraphId,chapterTitle,subChapterTitle,content,summary,dataType
11,Disclosure Requirements,"Disclosure Requirement related to ESRS 2 IRO-1 - Description of the processes to identify and assess material pollution-related impacts, risks and opportunities","The undertaking shall describe the process to identify material impacts, risks and opportunities and shall provide information on:\n (a) whether the undertaking has screened its site locations and business activities in order to identify its actual and potential pollution-related impacts, risks and opportunities in its own operations and upstream and downstream value chain, and if so, the methodologies, assumptions and tools used in the screening;\n (b) whether and how the undertaking has conducted consultations, in particular with affected communities.","To implement the content requested in the text, a sustainability consultant should:

1. Conduct a thorough screening of the company's site locations and business activities to identify actual and potential pollution-related impacts, risks, and opportunities in its operations and value chain. This should involve the use of specific methodologies, assumptions, and tools which should be clearly documented.

2. Carry out consultations, particularly with communities affected by the company's operations. The process and outcomes of these consultations should be documented and made available for review.",narrative
12,Disclosure Requirements,Disclosure Requirement E2-1 - Policies related to pollution,"The undertaking shall describe its policies adopted to manage its material impacts, risks and opportunities related to pollution prevention and control.","Implementation Step: The sustainability consultant should prepare a comprehensive document detailing the company's policies on managing material impacts, risks, and opportunities related to pollution prevention and control. This document should include the company's strategies, specific actions taken, and the results of these actions.",
13,Disclosure Requirements,Disclosure Requirement E2-1 - Policies related to pollution,"The objective of this Disclosure Requirement is to enable an understanding of the extent to which the undertaking has policies that address the identification, assessment, management and/or remediation of material pollution-related impacts, risks and opportunities.","Implementation Step: As a sustainability consultant, you should develop and document policies that specifically address the identification, assessment, management, and remediation of material pollution-related impacts, risks, and opportunities. This documentation should be comprehensive and transparent to demonstrate the extent of the undertaking's commitment to addressing pollution-related issues.",
14,Disclosure Requirements,Disclosure Requirement E2-1 - Policies related to pollution,"The disclosure required by paragraph 12 shall contain the information on the policies the undertaking has in place to manage its material impacts, risks and opportunities related to pollution in accordance with ESRS 2 MDR-P Policies adopted to manage material sustainability matters.","To implement the disclosure required by paragraph 12, a sustainability consultant should gather and document information on the policies the undertaking has in place to manage its material impacts, risks, and opportunities related to pollution. This should be done in accordance with ESRS 2 MDR-P Policies adopted to manage material sustainability matters.",MDR-P
15,Disclosure Requirements,Disclosure Requirement E2-1 - Policies related to pollution,"The undertaking shall indicate, with regard to its own operations and its upstream and donwstream value chain, whether and how its policies address the following areas where material:\n (a) mitigating negative impacts related to pollution of air, water and soil including prevention and control;\n (b) substituting and minimising the use of substances of concern, and phasing out substances of very high concern, in particular for non-essential societal use and in consumer products; and\n (c) avoiding incidents and emergency situations, and if and when they occur, controlling and limiting their impact on people and the environment.","To implement the content requested in the text, a sustainability consultant should:

1. Conduct an assessment of the company's operations and its upstream and downstream value chain to identify areas where the company's policies may have material impact.
2. Develop or revise policies to address the mitigation of negative impacts related to pollution of air, water, and soil. This should include strategies for prevention and control.
3. Implement strategies for substituting and minimizing the use of substances of concern, and phasing out substances of very high concern, particularly in non-essential societal use and consumer products.
4. Establish procedures to avoid incidents and emergency situations, and develop a response plan to control and limit their impact on people and the environment when they occur.",narrative
16,Disclosure Requirements,Disclosure Requirement E2-2 - Actions and resources related to pollution,The undertaking shall disclose its pollution-related actions and the resources allocated to their implementation.,"Implementation Step: As a sustainability consultant, you should prepare a comprehensive report detailing all the actions the company has taken to mitigate pollution. This should include specific initiatives, their outcomes, and the resources (financial, human, and technological) allocated for their implementation.",
17,Disclosure Requirements,Disclosure Requirement E2-2 - Actions and resources related to pollution,The objective of this Disclosure Requirement is to enable an understanding of the key actions taken and planned to achieve the pollution-related policy objectives and targets.,"Implementation Step: As a sustainability consultant, you should compile a comprehensive report detailing all the significant actions that have been taken and future plans to meet the pollution-related policy objectives and targets. This report should be clear, concise, and easily understandable to provide a thorough understanding of the efforts towards pollution control.",
18,Disclosure Requirements,Disclosure Requirement E2-2 - Actions and resources related to pollution,The description of the pollution-related action plans and resources shall contain the information prescribed in ESRS 2 MDR-A Actions and resources in relation to material sustainability matters.,"Implementation Step: As a sustainability consultant, you should prepare a detailed report outlining the pollution-related action plans and resources in accordance with the guidelines provided in ESRS 2 MDR-A. This report should include information on material sustainability matters, such as the nature of the resources, the steps taken to reduce pollution, and the effectiveness of these actions.",MDR-A
19,Disclosure Requirements,Disclosure Requirement E2-2 - Actions and resources related to pollution,"In addition to ESRS 2 MDR-A, the undertaking may specify to which layer in the following mitigation hierarchy an action and resources can be allocated:\n (a) avoid pollution including any phase out of materials or compounds that have a negative impact (prevention of pollution at source);\n (b) reduce pollution, including: any phase-out of materials or compounds; meeting enforcement requirements such as Best Available Techniques (BAT) requirements; or meeting the Do No Significant Harm criteria for pollution prevention and control according to the EU Taxonomy Regulation and its Delegated Acts (minimisation of pollution); and\n (c) restore, regenerate and transform ecosystems where pollution has occurred (control of the impacts both from regular activities and incidents).","To implement the content requested in the text, a sustainability consultant should create a detailed plan that outlines how to allocate actions and resources to the different layers of the mitigation hierarchy. This plan should include strategies for avoiding pollution, reducing pollution, and restoring ecosystems where pollution has occurred. The strategies should consider the phase-out of harmful materials or compounds, compliance with enforcement requirements such as Best Available Techniques, and adherence to the Do No Significant Harm criteria for pollution prevention and control according to the EU Taxonomy Regulation and its Delegated Acts.",semi-narrative
20,Disclosure Requirements,Disclosure Requirement E2-3 - Targets related to pollution,The undertaking shall disclose the pollution-related targets it has set.,"Implementation Step: As a sustainability consultant, you should gather all the pollution-related targets the company has set, including specific goals related to emissions, waste management, and resource usage, and prepare a comprehensive report detailing these targets for disclosure.",
