paragraphId,standardName,chapterId,chapterTitle,disclosureRequirement,dataPointType,content
16c,ESRS E1,3,Disclosure Requirements,E1-1,narrative,"by reference to the climate change mitigation actions (as required by Disclosure Requirement E1-3), an explanation and quantification of the undertaking’s investments and funding supporting the implementation of its transition plan, with a reference to the key performance indicators of taxonomy-aligned CapEx, and where relevant the CapEx plans, that the undertaking discloses in accordance with Commission Delegated Regulation (EU) 2021/2178;"
16d,ESRS E1,3,Disclosure Requirements,E1-1,narrative,"a qualitative assessment of the potential locked-in GHG emissions from the undertaking’s key assets and products. This shall include an explanation of if and how these emissions may jeopardise the achievement of the undertaking’s GHG emission reduction targets and drive transition risk, and if applicable, an explanation of the undertaking’s plans to manage its GHG-intensive and energyintensive assets and products;"
16e,ESRS E1,3,Disclosure Requirements,E1-1,narrative,"for undertakings with economic activities that are covered by delegated regulations on climate adaptation or mitigation under the Taxonomy Regulation, an explanation of any objective or plans (CapEX, CapEx plans, OpEX) that the undertaking has for aligning its economic  activities  (revenues,  CapEx,  OpEx)  with  the  criteria  established  in Commission Delegated Regulation 2021/2139"
16f,ESRS E1,3,Disclosure Requirements,E1-1,monetary,"if applicable, a disclosure of significant CapEx amounts invested during the reporting period related to coal, oil and gas-related economic activities"
16g,ESRS E1,3,Disclosure Requirements,E1-1,semi-narrative,a disclosure on whether or not the undertaking is excluded from the EU Paris-aligned benchmarks;
16h,ESRS E1,3,Disclosure Requirements,E1-1,narrative,an  explanation  of  how  the  transition  plan  is  embedded  in  and  aligned  with  the undertaking’s overall business strategy and financial planning; 
16i,ESRS E1,3,Disclosure Requirements,E1-1,semi-narrative,"whether the transition plan is approved by the administrative, management and supervisory bodies; and"
16j,ESRS E1,3,Disclosure Requirements,E1-1,narrative,an explanation of the undertaking’s progress in implementing the transition plan.
17,ESRS E1,3,Disclosure Requirements,E1-1,gYear,"In case the undertaking does not have a transition plan in place, it shall indicate whether and, if so, when it will adopt a transition plan."
18,ESRS E1,3,Disclosure Requirements,E1-1,semi-narrative,"The undertaking shall explain for each material climate-related risk it has identified, whether the  entity  considers  the  risk  to  be  a  climate-related  physical  risk  or  climate-related transition risk."
19,ESRS E1,3,Disclosure Requirements,E1-1,,The undertaking shall describe the resilience of its strategy and business model in relation to climate change. This description shall include:
19a,ESRS E1,3,Disclosure Requirements,E1-1,narrative,the scope of the resilience analysis;
19b,ESRS E1,3,Disclosure Requirements,E1-1,narrative,"how and when the resilience analysis has been conducted, including the use of climate scenario analysis as referenced in the Disclosure Requirement related to ESRS 2 IRO1 and the related application requirement paragraphs; and"
19c,ESRS E1,3,Disclosure Requirements,E1-1,narrative,the results of the resilience analysis including the results from the use of scenario analysis.
20,ESRS E1,3,Disclosure Requirements,E1-1,,"The undertaking shall describe the process to identify and assess climate-related impacts, risks and opportunities. This description shall include its process in relation to:"
20a,ESRS E1,3,Disclosure Requirements,E1-1,,"impacts on climate change, in particular, the undertaking’s GHG emissions (as required by Disclosure Requirement ESRS E1-6);"
20b,ESRS E1,3,Disclosure Requirements,E1-1,narrative,"climate-related physical risks in own operations and along the upstream and downstream value chain, in particular:"
20bi,ESRS E1,3,Disclosure Requirements,E1-1,,"the identification of climate-related hazards, considering at least high emission climate scenarios; and"
20bii,ESRS E1,3,Disclosure Requirements,E1-1,,"the assessment of how its assets and business activities may be exposed and are sensitive to these climate-related hazards, creating gross physical risks for the undertaking."
20c,ESRS E1,3,Disclosure Requirements,E1-1,narrative,"climate-related transition risks and opportunities in own operations and along the upstream and downstream value chain, in particular:"
20ci,ESRS E1,3,Disclosure Requirements,E1-1,,"the identification of climate-related transition events, considering at least a climate scenario in line with limiting global warming to 1.5°C with no or limited overshoot; and"
20cii,ESRS E1,3,Disclosure Requirements,E1-1,,"the assessment of how its assets and business activities may be exposed to these climate-related transition events, creating gross transition risks or opportunities for the undertaking."
21,ESRS E1,3,Disclosure Requirements,E1-1,narrative,"When disclosing the information required under paragraphs 20 (b)and 20 (c) the undertaking shall explain how it has used climate-related scenario analysis, including a range of climate scenarios, to inform the identification and assessment of physical risks and transition risks and opportunities over the short-, medium- and long-term."
22,ESRS E1,3,Disclosure Requirements,E1-2,,"The undertaking shall describe its policies adopted to manage its material impacts, risks and opportunities related to climate change mitigation and adaptation."
23,ESRS E1,3,Disclosure Requirements,E1-2,,"The objective of this Disclosure Requirement is to enable an understanding of the extent to which the undertaking has policies that address the identification, assessment, management and/or remediation of its material climate change mitigation and adaptation impacts, risks and opportunities"
24,ESRS E1,3,Disclosure Requirements,E1-2,MDR-P,"The disclosure required by paragraph 22 shall contain the information on the policies the undertaking has in place to manage its material impacts, risks and opportunities related to climate change mitigation and adaptation in accordance with ESRS 2 MDR-P Policies adopted to manage material sustainability matters."
25,ESRS E1,3,Disclosure Requirements,E1-2,semi-narrative,The undertaking shall indicate whether and how its policies address the following areas:
25a,ESRS E1,3,Disclosure Requirements,E1-2,,climate change mitigation;
25b,ESRS E1,3,Disclosure Requirements,E1-2,,climate change adaptation;
25c,ESRS E1,3,Disclosure Requirements,E1-2,,energy efficiency;
25d,ESRS E1,3,Disclosure Requirements,E1-2,,renewable energy deployment; and
25e,ESRS E1,3,Disclosure Requirements,E1-2,,other
26,ESRS E1,3,Disclosure Requirements,E1-3,,The undertaking shall disclose its climate change mitigation and adaptation actions and the resources allocated for their implementation.
27,ESRS E1,3,Disclosure Requirements,E1-3,,The objective of this Disclosure Requirement is to provide an understanding of the key actions taken and planned to achieve climate-related policy objectives and targets.
28,ESRS E1,3,Disclosure Requirements,E1-3,MDR-A,The description of the actions and resources related to climate change mitigation and adaptation shall follow the principles stated in ESRS 2 MDR-A Actions and resources in relation to material sustainability matters.
29,ESRS E1,3,Disclosure Requirements,E1-3,,"In addition to ESRS 2 MDR-A, the undertaking shall:"
29a,ESRS E1,3,Disclosure Requirements,E1-3,semi-narrative,"when listing key actions taken in the reporting year and planned for the future, present the climate change mitigation actions by decarbonisation lever including the naturebased solutions;"
29b,ESRS E1,3,Disclosure Requirements,E1-3,ghgEmissions,"when describing the outcome of the actions for climate change mitigation, include the achieved and expected GHG emission reductions; and"
29c,ESRS E1,3,Disclosure Requirements,E1-3,,relate significant monetary amounts of CapEx and OpEx required to implement the actions taken or planned to:
29ci,ESRS E1,3,Disclosure Requirements,E1-3,narrative,the relevant line items or notes in the financial statements;
29cii,ESRS E1,3,Disclosure Requirements,E1-3,,"the key performance indicators required under Commission Delegated Regulation (EU) 2021/2178; and iii. if applicable, the CapEx plan required by Commission Delegated Regulation (EU) 2021/2178."
30,ESRS E1,3,Disclosure Requirements,E1-4,,The undertaking shall disclose the climate-related targets it has set
31,ESRS E1,3,Disclosure Requirements,E1-4,,"The objective of this Disclosure Requirement is to enable an understanding of the targets the undertaking has set to support its climate change mitigation and adaptation policies and address its material climate-related impacts, risks and opportunities."
32,ESRS E1,3,Disclosure Requirements,E1-4,MDR-T,The disclosure of the targets required in paragraph 30 shall contain the information required in ESRS 2 MDR-T Tracking effectiveness of policies and actions through targets.
33,ESRS E1,3,Disclosure Requirements,E1-4,narrative,"For the disclosure required by paragraph 30, the undertaking shall disclose whether and how it has set GHG emissions reduction targets and/or any other targets to manage material climate-related impacts, risks and opportunities, for example, renewable energy deployment, energy efficiency, climate change adaptation, and physical or transition risk mitigation."
34,ESRS E1,3,Disclosure Requirements,E1-4,,"If the undertaking has set GHG emission reduction targets4 , ESRS 2 MDR-T and the following requirements shall apply:"
34a,ESRS E1,3,Disclosure Requirements,E1-4,,"GHG emission reduction targets shall be disclosed in absolute value (either in tonnes of CO2eq or as a percentage of the emissions of a base year) and, where relevant, in intensity value;"
34b,ESRS E1,3,Disclosure Requirements,E1-4,narrative,"GHG emission reduction targets shall be disclosed for Scope 1, 2, and 3 GHG emissions, either separately or combined. The undertaking shall specify, in case of combined GHG emission reduction targets, which GHG emission Scopes (1, 2 and/or 3) are covered by the target, the share related to each respective GHG emission Scope and which GHGs are covered. The undertaking shall explain how the consistency of these targets with its GHG inventory boundaries is ensured (as required by Disclosure Requirement E1-6). The GHG emission reduction targets shall be gross targets, meaning that the undertaking shall not include GHG removals, carbon credits or avoided emissions as a means of achieving the GHG emission reduction targets;"
34c,ESRS E1,3,Disclosure Requirements,E1-4,narrative,"the undertaking shall disclose its current base year and baseline value, and from 2030 onwards, update the base year for its GHG emission reduction targets after every fiveyear period thereafter. The undertaking may disclose the past progress made in meeting its targets before its current base year provided that this information is consistent with the requirements of this Standard;"
34d,ESRS E1,3,Disclosure Requirements,E1-4,,"GHG emission reduction targets shall at least include target values for the year 2030 and, if available, for the year 2050. From 2030, target values shall be set after every 5year period thereafter;"
34e,ESRS E1,3,Disclosure Requirements,E1-4,,"the undertaking shall state whether the GHG emission reduction targets are sciencebased and compatible with limiting global warming to 1.5°C. The undertaking shall state which framework and methodology has been used to determine these targets including whether they are derived using a sectoral decarbonisation pathway and what the underlying climate and policy scenarios are and whether the targets have been externally assured. As part of the critical assumptions for setting GHG emission reduction targets, the undertaking shall briefly explain how it has considered future developments (e.g., changes in sales volumes, shifts in customer preferences and demand, regulatory factors, and new technologies) and how these will potentially impact both its GHG emissions and emissions reductions; and"
34f,ESRS E1,3,Disclosure Requirements,E1-4,,"the undertaking shall describe the expected decarbonisation levers and their overall quantitative contributions to achieve the GHG emission reduction targets (e.g., energy or material efficiency and consumption reduction, fuel switching, use of renewable energy, phase out or substitution of product and process)."
35,ESRS E1,3,Disclosure Requirements,E1-5 ,,The undertaking shall provide information on its energy consumption and mix.
36,ESRS E1,3,Disclosure Requirements,E1-5 ,,"The objective of this Disclosure Requirement is to provide an understanding of the undertaking’s total energy consumption in absolute value, improvement in energy efficiency, exposure to coal, oil and gas-related activities, and the share of renewable energy in its overall energy mix"
37,ESRS E1,3,Disclosure Requirements,E1-5 ,energy,The disclosure required by paragraph 35 shall include the total energy consumption in MWh related to own operations disaggregated by:
37a,ESRS E1,3,Disclosure Requirements,E1-5,energy,total energy consumption from fossil sources5 ;
37b,ESRS E1,3,Disclosure Requirements,E1-5,energy,total energy consumption from nuclear sources;
37c,ESRS E1,3,Disclosure Requirements,E1-5,energy,total energy consumption from renewable sources disaggregated by:
37ci,ESRS E1,3,Disclosure Requirements,E1-5,energy,"fuel consumption for renewable sources including biomass (also comprising industrial and municipal waste of biologic origin), biofuels, biogas, hydrogen from renewable sources6 , etc.;"
37cii,ESRS E1,3,Disclosure Requirements,E1-5,energy,"consumption of purchased or acquired electricity, heat, steam, and cooling from renewable sources; and"
37ciii,ESRS E1,3,Disclosure Requirements,E1-5,energy,consumption of self-generated non-fuel renewable energy.
38,ESRS E1,3,Disclosure Requirements,E1-5,,The undertaking with operations in high climate impact sectors7 shall further disaggregate their total energy consumption from fossil sources by:
38a,ESRS E1,3,Disclosure Requirements,E1-5,energy,fuel consumption from coal and coal products;
38b,ESRS E1,3,Disclosure Requirements,E1-5,energy,fuel consumption from crude oil and petroleum products;
38c,ESRS E1,3,Disclosure Requirements,E1-5,energy,fuel consumption from natural gas;
38d,ESRS E1,3,Disclosure Requirements,E1-5,energy,fuel consumption from other fossil sources;
38e,ESRS E1,3,Disclosure Requirements,E1-5,energy,"consumption of purchased or acquired electricity, heat, steam, or cooling from fossil sources;"
39,ESRS E1,3,Disclosure Requirements,E1-5,energy,"In addition, where applicable, the undertaking shall disaggregate and disclose separately its non-renewable energy production and renewable energy production in MWh.8"
40,ESRS E1,3,Disclosure Requirements,E1-5,percent,The undertaking shall provide information on the energy intensity (total energy consumption per net revenue) associated with activities in high climate impact sectors.
41,ESRS E1,3,Disclosure Requirements,E1-5,energy,The disclosure on energy intensity required by paragraph 40 shall only be derived from the total energy consumption and net revenue from activities in high climate impact sectors.
42,ESRS E1,3,Disclosure Requirements,E1-5,semi-narrative,The undertaking shall specify the high climate impact sectors that are used to determine the energy intensity required by paragraph 40.
43,ESRS E1,3,Disclosure Requirements,E1-5,narrative,The undertaking shall disclose the reconciliation to the relevant line item or notes in the financial statements of the net revenue amount from activities in high climate impact sectors (the denominator in the calculation of the energy intensity required by paragraph 40).
44,ESRS E1,3,Disclosure Requirements,E1-6,Table,The undertaking shall disclose in metric tonnes of CO2eq its10:
44a,ESRS E1,3,Disclosure Requirements,E1-6,,gross Scope 1 GHG emissions;
44b,ESRS E1,3,Disclosure Requirements,E1-6,,gross Scope 2 GHG emissions; (c) gross Scope 3 GHG emissions; and (d) total GHG emissions.
45,ESRS E1,3,Disclosure Requirements,E1-6,,The objective of the Disclosure Requirement in paragraph 44 in respect of:
45a,ESRS E1,3,Disclosure Requirements,E1-6,,gross Scope 1 GHG emissions as required by paragraph 44 (a) is to provide an understanding of the direct impacts of the undertaking on climate change and the proportion of its total GHG emissions that are regulated under emission trading schemes.
45b,ESRS E1,3,Disclosure Requirements,E1-6,,gross Scope 2 GHG emissions as required by paragraph 44 (b) is to provide an understanding of the indirect impacts on climate change caused by the undertaking’s consumed energy whether externally purchased or acquired.
45c,ESRS E1,3,Disclosure Requirements,E1-6,,"gross Scope 3 GHG emissions as required by paragraph 44 (c) is to provide an understanding of the GHG emissions that occur in the undertaking’s upstream and downstream value chain beyond its Scope 1 and 2 GHG emissions. For many undertakings, Scope 3 GHG emissions may be the main component of their GHG inventory and are an important driver of the undertaking’s transition risks."
45d,ESRS E1,3,Disclosure Requirements,E1-6,,total GHG emissions as required by paragraph 44 (d) is to provide an overall understanding of the undertaking’s GHG emissions and whether they occur from its own operations or the upstream and downstream value chain. This disclosure is a prerequisite for measuring progress towards reducing GHG emissions in accordance with the undertaking’s climate-related targets and EU policy goals. The information from this Disclosure Requirement is also needed to understand the undertaking’s climate-related transition risks.
46,ESRS E1,3,Disclosure Requirements,E1-6,,"When disclosing the information on GHG emissions required under paragraph 44, the undertaking shall refer to ESRS 1 paragraphs from 62 to 67. In principle, the data on GHG emissions of its associates or joint ventures that are part of the undertaking’s upstream and downstream value chain (ESRS 1 Paragraph 67) are not limited to the share of equity held. For its associates, joint ventures, unconsolidated subsidiaries (investment entities) and contractual arrangements that are joint arrangements not structured through an entity (i.e., jointly controlled operations and assets), the undertaking shall include the GHG emissions in accordance with the extent of the undertaking’s operational control over them."
47,ESRS E1,3,Disclosure Requirements,E1-6,narrative,"In case of significant changes in the definition of what constitutes the reporting undertaking and its upstream and downstream value chain, the undertaking shall disclose these changes and explain their effect on the year-to-year comparability of its reported GHG emissions (i.e., the effect on the comparability of current versus previous reporting period GHG emissions)."
48,ESRS E1,3,Disclosure Requirements,E1-6,,The disclosure on gross Scope 1 GHG emissions required by paragraph 44 (a) shall include:
48a,ESRS E1,3,Disclosure Requirements,E1-6,Table/GhgEmissions,the gross Scope 1 GHG emissions in metric tonnes of CO2eq; and
48b,ESRS E1,3,Disclosure Requirements,E1-6,Table/Percent,the percentage of Scope 1 GHG emissions from regulated emission trading schemes.
49,ESRS E1,3,Disclosure Requirements,E1-6,,The disclosure on gross Scope 2 GHG emissions required by paragraph 44 (b) shall include:
49a,ESRS E1,3,Disclosure Requirements,E1-6,Table/GhgEmissions,the gross location-based Scope 2 GHG emissions in metric tonnes of CO2eq; and (b) the gross market-based Scope 2 GHG emissions in metric tonnes of CO2eq.
50,ESRS E1,3,Disclosure Requirements,E1-6,Table,"For Scope 1 and Scope 2 emissions disclosed as required by paragraphs 44 (a) and (b) the undertaking shall disaggregate the information, separately disclosing emissions from:"
50a,ESRS E1,3,Disclosure Requirements,E1-6,,the consolidated accounting group (the parent and subsidiaries); and
50b,ESRS E1,3,Disclosure Requirements,E1-6,,"investees such as associates, joint ventures, or unconsolidated subsidiaries that are not fully consolidated in the financial statements of the consolidated accounting group, as well as contractual arrangements that are joint arrangements not structured through an entity (i.e., jointly controlled operations and assets), for which it has operational control."
51,ESRS E1,3,Disclosure Requirements,E1-6,Table/GhgEmissions,The disclosure of gross Scope 3 GHG emissions required by paragraph 44 (c) shall include GHG emissions in metric tonnes of CO2eq from each significant Scope 3 category (i.e. each Scope 3 category that is a priority for the undertaking) .
52,ESRS E1,3,Disclosure Requirements,E1-6,,"The disclosure of total GHG emissions required by paragraph 44 (d) shall be the sum of Scope 1, 2 and 3 GHG emissions required by paragraphs 44 (a) to (c). The total GHG emissions shall be disclosed with a disaggregation that makes a distinction of:"
52a,ESRS E1,3,Disclosure Requirements,E1-6,,the total GHG emissions derived from the underlying Scope 2 GHG emissions being measured using the location-based method; and 11 the total GHG emissions derived from the underlying Scope 2 GHG emissions being measured using the market-based method.
53,ESRS E1,3,Disclosure Requirements,E1-6,Intensity,The undertaking shall disclose its GHG emissions intensity (total GHG emissions per net revenue).
54,ESRS E1,3,Disclosure Requirements,E1-6,,The disclosure on GHG intensity required by paragraph 53 shall provide the total GHG emissions in metric tonnes of CO2eq (required by paragraph 44 (d)) per net revenue.
55,ESRS E1,3,Disclosure Requirements,E1-6,narrative,The undertaking shall disclose the reconciliation to the relevant line item or notes in the financial statements of the net revenue amounts (the denominator in the calculation of the GHG emissions intensity required by paragraph 53).
56,ESRS E1,3,Disclosure Requirements,E1-7,,The undertaking shall disclose:
56a,ESRS E1,3,Disclosure Requirements,E1-7,narrative,"GHG removals and storage in metric tonnes of CO2eq resulting from projects it may have developed in its own operations, or contributed to in its upstream and downstream value chain; and"
56b,ESRS E1,3,Disclosure Requirements,E1-7,narrative,the amount of GHG emission reductions or removals from climate change mitigation projects outside its value chain it has financed or intends to finance through any purchase of carbon credits.
57,ESRS E1,3,Disclosure Requirements,E1-7,,The objective of this Disclosure Requirement is:
57a,ESRS E1,3,Disclosure Requirements,E1-7,,"to provide an understanding of the undertaking’s actions to permanently remove or actively support the removal of GHG from the atmosphere, potentially for achieving net-zero targets (as stated in paragraph 60)."
57b,ESRS E1,3,Disclosure Requirements,E1-7,,"to provide an understanding of the extent and quality of carbon credits the undertaking has purchased or intends to purchase from the voluntary market, potentially for supporting its GHG neutrality claims (as stated in paragraph 61)."
58,ESRS E1,3,Disclosure Requirements,E1-7,semi-narrative,"The disclosure on GHG removals and storage required by paragraph 56 (a) shall include, if applicable:"
58a,ESRS E1,3,Disclosure Requirements,E1-7,TABLE,"the total amount of GHG removals and storage in metric tonnes of CO2eq disaggregated and separately disclosed for the amount related to the undertaking’s own operations and its upstream and downstream value chain, and broken down by removal activity; and"
58b,ESRS E1,3,Disclosure Requirements,E1-7,narrative,"the calculation assumptions, methodologies and frameworks applied by the undertaking."
59,ESRS E1,3,Disclosure Requirements,E1-7,,"The disclosure on carbon credits required by paragraph 56 (b) shall include, if applicable:"
59a,ESRS E1,3,Disclosure Requirements,E1-7,ghgEmissions,the total amount of carbon credits outside the undertaking’s value chain in metric tonnes of CO2eq that are verified against recognised quality standards and cancelled in the reporting period; and the total amount of carbon credits outside the undertaking’s value chain in metric tonnes of CO2eq planned to be cancelled in the future and whether they are based on existing contractual agreements or not
60,ESRS E1,3,Disclosure Requirements,E1-7,narrative,"In the case where the undertaking discloses a net-zero target in addition to the gross GHG emission reduction targets in accordance with Disclosure Requirement E1-4, paragraph 30, it shall explain the scope, methodologies and frameworks applied and how the residual GHG emissions (after approximately 90-95% of GHG emission reduction with the possibility for justified sectoral variations in line with a recognised sectoral decarbonisation pathway) are intended to be neutralised by, for example, GHG removals in its own operations and upstream and donwstream value chain."
61,ESRS E1,3,Disclosure Requirements,E1-7,semi-narrative,"In the case where the undertaking may have made public claims of GHG neutrality that involve the use of carbon credits, it shall explain:"
61a,ESRS E1,3,Disclosure Requirements,E1-7,semi-narrative,whether and how these claims are accompanied by GHG emission reduction targets as required by Disclosure requirement ESRS E1-4;
61b,ESRS E1,3,Disclosure Requirements,E1-7,semi-narrative,"whether and how these claims and the reliance on carbon credits neither impede nor reduce the achievement of its GHG emission reduction targets12, or, if applicable, its net zero target; and"
61c,ESRS E1,3,Disclosure Requirements,E1-7,narrative,"the credibility and integrity of the carbon credits used, including by reference to recognised quality standards."
62,ESRS E1,3,Disclosure Requirements,E1-8,,"The undertaking shall disclose whether it applies internal carbon pricing schemes, and if so, how they support its decision making and incentivise the implementation of climate-related policies and targets."
63,ESRS E1,3,Disclosure Requirements,E1-8,,The information required in paragraph 62 shall include:
63a,ESRS E1,3,Disclosure Requirements,E1-8,Table,"the type of internal carbon pricing scheme, for example, the shadow prices applied for CapEX or research and development (R&D) investment decision making, internal carbon fees or internal carbon funds;"
63b,ESRS E1,3,Disclosure Requirements,E1-8,Table/Narrative,"the specific scope of application of the carbon pricing schemes (activities, geographies, entities, etc.);"
63c,ESRS E1,3,Disclosure Requirements,E1-8,Table/monetary,"the carbon prices applied according to the type of scheme and critical assumptions made to determine the prices, including the source of the applied carbon prices and why these are deemed relevant for their chosen application. The undertaking may disclose the calculation methodology of the carbon prices including the extent to which these have been set using scientific guidance and how their future development is related to science-based carbon pricing trajectories; and"
63d,ESRS E1,3,Disclosure Requirements,E1-8,Table/percent,"the current year approximate gross GHG emission volumes by Scopes 1, 2 and, where applicable, Scope 3 in metric tonnes of CO2eq covered by these schemes, as well as their share of the undertaking’s overall GHG emissions for each respective Scope."
64,ESRS E1,3,Disclosure Requirements,E1-9,,The undertaking shall disclose its:
64a,ESRS E1,3,Disclosure Requirements,E1-9,,anticipated financial effects from material physical risks; anticipated financial effects from material transition risks; and
64c,ESRS E1,3,Disclosure Requirements,E1-9,,potential to benefit from material climate-related opportunities.
65,ESRS E1,3,Disclosure Requirements,E1-9,,The information required by paragraph 64 is in addition to the information on current financial effects required under ESRS 2 SeM-3 para 48 (d). The objective of this Disclosure Requirement related to:
65a,ESRS E1,3,Disclosure Requirements,E1-9,,"anticipated financial effects due to material physical risks and transition risks is to provide an understanding of how these risks have (or could reasonably be expected to have) a material influence on the undertaking’s financial position, financial performance and cash flows, over the short-, mediumand long- term. The results of scenario analysis used to conduct resilience analysis as required under paragraphs AR 10 to AR 13 should inform the assessment of anticipated financial effects from material physical and transition risks."
65b,ESRS E1,3,Disclosure Requirements,E1-9,,potential to pursue material climate-related opportunities is to enable an understanding of how the undertaking may financially benefit from material climate- related opportunities. This disclosure is complementary to the key performance indicators to be disclosed in accordance with Commission Delegated Regulation (EU) 2021/2178
66,ESRS E1,3,Disclosure Requirements,E1-9,,The disclosure of anticipated financial effects from material physical risks required by paragraph 64 (a) shall include13:
